Time, Distance in Meters, Heart Rate, KPH, Speed, Cadence, StrideLength 
2013-03-29T07:34:52.000Z,,50,0,0,0,NaN
2013-03-29T07:34:53.000Z,,51,0,0,0,NaN
2013-03-29T07:34:54.000Z,,51,0,0,0,NaN
2013-03-29T07:34:55.000Z,,52,0,0,0,NaN
2013-03-29T07:34:56.000Z,,53,0,0,0,NaN
2013-03-29T07:34:57.000Z,,53,0,0,0,NaN
2013-03-29T07:34:58.000Z,,54,0,0,0,NaN
2013-03-29T07:34:59.000Z,,55,0,0,0,NaN
2013-03-29T07:35:00.000Z,,56,0,0,0,NaN
2013-03-29T07:35:01.000Z,,57,0,0,0,NaN
2013-03-29T07:35:02.000Z,,58,0,0,0,NaN
2013-03-29T07:35:03.000Z,2.5199999809265137,58,9.075599670410156,2.5209999084472656,54,1.4005555046929254
2013-03-29T07:35:04.000Z,5.059999942779541,58,9.129600048065186,2.5360000133514404,65,1.1704615446237416
2013-03-29T07:35:05.000Z,7.699999809265137,58,9.525599670410156,2.6459999084472656,73,1.0873972226495612
2013-03-29T07:35:06.000Z,10.640000343322754,58,10.56960039138794,2.936000108718872,79,1.1149367501464071
2013-03-29T07:35:07.000Z,13.680000305175781,58,10.929600048065186,3.0360000133514404,81,1.1244444493894223
2013-03-29T07:35:08.000Z,16.889999389648438,58,11.58840036392212,3.2190001010894775,82,1.1776829638132236
2013-03-29T07:35:09.000Z,20.200000762939453,58,11.89079990386963,3.302999973297119,83,1.1938554120351033
2013-03-29T07:35:10.000Z,23.649999618530273,58,12.416399574279785,3.4489998817443848,84,1.231785672051566
2013-03-29T07:35:11.000Z,27.31999969482422,58,13.222800350189209,3.6730000972747803,84,1.3117857490267073
2013-03-29T07:35:12.000Z,31.09000015258789,62,13.557600116729736,3.7660000324249268,85,1.329176482032327
2013-03-29T07:35:13.000Z,34.97999954223633,65,14.021999931335449,3.8949999809265137,85,1.3747058756211226
2013-03-29T07:35:14.000Z,38.88999938964844,71,14.086800384521485,3.9130001068115234,86,1.3650000372598337
2013-03-29T07:35:15.000Z,42.84000015258789,71,14.194800281524659,3.943000078201294,86,1.375465143558591
2013-03-29T07:35:16.000Z,46.79999923706055,71,14.259599876403808,3.9609999656677246,86,1.3817441740701364
2013-03-29T07:35:17.000Z,50.77000045776367,71,14.29919958114624,3.9719998836517334,86,1.3855813547622327
2013-03-29T07:35:18.000Z,54.75,71,14.313600254058837,3.9760000705718994,86,1.386976768804151
2013-03-29T07:35:19.000Z,58.720001220703125,75,14.29919958114624,3.9719998836517334,86,1.3855813547622327
2013-03-29T07:35:20.000Z,62.68000030517578,83,14.270399951934815,3.9639999866485596,86,1.3827906930169394
2013-03-29T07:35:21.000Z,66.6500015258789,89,14.284799766540527,3.9679999351501465,86,1.384186023889586
2013-03-29T07:35:22.000Z,70.62999725341797,92,14.313600254058837,3.9760000705718994,86,1.386976768804151
2013-03-29T07:35:23.000Z,74.61000061035156,92,14.33520040512085,3.9820001125335693,86,1.3890698066977567
2013-03-29T07:35:24.000Z,78.5999984741211,92,14.364000034332275,3.990000009536743,86,1.39186046844305
2013-03-29T07:35:25.000Z,82.61000061035156,92,14.443200302124023,4.01200008392334,86,1.399534912996514
2013-03-29T07:35:26.000Z,86.62999725341797,92,14.49360008239746,4.026000022888184,86,1.4044186126354128
2013-03-29T07:35:27.000Z,90.68000030517578,92,14.576399230957032,4.048999786376953,86,1.4124417859454488
2013-03-29T07:35:28.000Z,94.7300033569336,96,14.576399230957032,4.048999786376953,86,1.4124417859454488
2013-03-29T07:35:29.000Z,98.77999877929688,96,14.576399230957032,4.048999786376953,86,1.4124417859454488
2013-03-29T07:35:30.000Z,102.83999633789062,96,14.590799903869629,4.052999973297119,86,1.4138371999873671
2013-03-29T07:35:31.000Z,106.88999938964844,102,14.590799903869629,4.052999973297119,86,1.4138371999873671
2013-03-29T07:35:32.000Z,110.94000244140625,102,14.590799903869629,4.052999973297119,86,1.4138371999873671
2013-03-29T07:35:33.000Z,115.0,107,14.61240005493164,4.059000015258789,86,1.4159302378809728
2013-03-29T07:35:34.000Z,119.06999969482422,111,14.655600357055665,4.071000099182129,86,1.4201163136681845
2013-03-29T07:35:35.000Z,123.13999938964844,114,14.666399574279785,4.073999881744385,86,1.4211627494457155
2013-03-29T07:35:36.000Z,127.22000122070312,116,14.680800247192384,4.078000068664551,86,1.422558163487634
2013-03-29T07:35:37.000Z,131.32000732421875,118,14.745600700378418,4.0960001945495605,86,1.4288372771684514
2013-03-29T07:35:38.000Z,135.4199981689453,119,14.774400329589843,4.104000091552734,86,1.4316279389137445
2013-03-29T07:35:39.000Z,139.52999877929688,120,14.774400329589843,4.104000091552734,86,1.4316279389137445
2013-03-29T07:35:40.000Z,143.6199951171875,121,14.745600700378418,4.0960001945495605,87,1.4124138601895035
2013-03-29T07:35:41.000Z,147.72000122070312,122,14.745600700378418,4.0960001945495605,87,1.4124138601895035
2013-03-29T07:35:42.000Z,151.80999755859375,123,14.731200027465821,4.0920000076293945,87,1.4110344853894463
2013-03-29T07:35:43.000Z,155.89999389648438,123,14.709599876403809,4.085999965667725,87,1.4089655054026637
2013-03-29T07:35:44.000Z,159.97999572753906,123,14.69519920349121,4.081999778747559,87,1.4075861306026065
2013-03-29T07:35:45.000Z,164.0500030517578,124,14.666399574279785,4.073999881744385,87,1.4048275454290982
2013-03-29T07:35:46.000Z,168.1199951171875,124,14.655600357055665,4.071000099182129,87,1.40379313764901
